Station ID;Distrito;Concelho;Freguesia;Latitude;Longitude;Potência Máxima Admissível (kW);Pontos de ligação para instalações de PCVE;CodDistrito;CodDistritoConcelho;CodDistritoConcelhoFreguesia
PT-EVS00351;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;41.4;1;8;815;81504
PT-EVS01200;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;41.4;1;8;815;81504
PT-EVS03176;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;41.4;1;8;815;81504
PT-EVS05555;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;41.4;1;8;815;81504
PT-EVS07244;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;250.0;2;8;815;81504
PT-EVS07668;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;41.4;1;8;815;81504
PT-EVS09291;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;41.4;1;8;815;81504
PT-EVS10990;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;41.4;1;8;815;81504
PT-EVS11176;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;41.4;1;8;815;81504
PT-EVS11624;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;250.0;1;8;815;81504
PT-EVS11891;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;315.0;1;8;815;81504
PT-EVS12107;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;315.0;1;8;815;81504
PT-EVS14416;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;315.0;1;8;815;81504
PT-EVS15814;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;250.0;1;8;815;81504
PT-EVS17323;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;250.0;2;8;815;81504
PT-EVS18293;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;250.0;2;8;815;81504
PT-EVS20865;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;315.0;1;8;815;81504
PT-EVS21774;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;41.4;1;8;815;81504
PT-EVS24472;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;315.0;1;8;815;81504
PT-EVS25465;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;315.0;1;8;815;81504
PT-EVS26676;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;250.0;2;8;815;81504
PT-EVS28976;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;315.0;1;8;815;81504
PT-EVS29631;Faro;Vila do Bispo;Sagres;37.0078288;-8.941924;250.0;2;8;815;81504
